EnsemblID	GeneID	count
ENSG00000125351	65109	102
ENSG00000125352	7737	25
ENSG00000125354	23157	95
ENSG00000125355	55026	5
ENSG00000125356	4694	54
ENSG00000125375	27109	1
ENSG00000125378	652	2941
ENSG00000125384	5732	1072
ENSG00000125503	54776	35
ENSG00000125505	79143	202
ENSG00000125675	2892	309
ENSG00000125676	57187	39
ENSG00000125740	2354	1774
ENSG00000125741	80207	64
ENSG00000125743	6633	47
ENSG00000125744	6253	38
ENSG00000125746	24139	12
ENSG00000125753	7408	1215
ENSG00000125755	8189	160
ENSG00000125952	4149	92
ENSG00000125954	100529261	769
ENSG00000126214	3831	112
ENSG00000126215	7517	822
ENSG00000126243	79414	9
ENSG00000126246	79713	12
ENSG00000126247	826	129
ENSG00000126249	84306	12
ENSG00000126251	2866	5
ENSG00000126254	79171	9
ENSG00000126259	84063	44
ENSG00000126261	10054	152
ENSG00000126262	2867	388
ENSG00000126264	10870	137
ENSG00000126266	2864	488
ENSG00000126267	1340	51
ENSG00000126583	5582	470
ENSG00000126756	8409	58
ENSG00000126759	5199	1100
ENSG00000126767	2002	1211
ENSG00000126768	10245	13
ENSG00000126773	64430	3
ENSG00000126775	22863	294
ENSG00000126777	3895	100
ENSG00000126778	6495	468
ENSG00000126785	57381	131
ENSG00000126787	9787	247
ENSG00000126790	112849	10
ENSG00000126803	3306	290
ENSG00000126804	22890	17
ENSG00000126814	57570	26
ENSG00000126821	81537	44
ENSG00000126822	26030	13
ENSG00000127152	64919	380
ENSG00000127241	5648	546
ENSG00000127249	84239	15
ENSG00000127252	57110	476
ENSG00000127445	5300	1261
ENSG00000127452	54850	15
ENSG00000127616	6597	2306
ENSG00000127903	90485	1
ENSG00000128000	163131	2
ENSG00000128011	57622	19
ENSG00000128016	7538	829
ENSG00000128185	85359	3
ENSG00000128191	54487	475
ENSG00000128228	23753	17
ENSG00000128626	6183	21
ENSG00000128731	8924	204
ENSG00000128739	6638	610
ENSG00000129151	8424	158
ENSG00000129347	65095	7
ENSG00000129351	3609	354
ENSG00000129353	57153	94
ENSG00000129354	10053	145
ENSG00000129355	1032	334
ENSG00000129460	25983	91
ENSG00000129465	11035	1471
ENSG00000129467	196883	112
ENSG00000129472	84932	24
ENSG00000129473	599	519
ENSG00000129474	84962	119
ENSG00000129480	112487	11
ENSG00000129484	10038	433
ENSG00000129493	25938	2
ENSG00000129514	3169	1307
ENSG00000129521	112399	368
ENSG00000129534	55320	38
ENSG00000129535	4901	231
ENSG00000129538	6035	1607
ENSG00000129559	4738	720
ENSG00000129562	1603	121
ENSG00000129566	7011	322
ENSG00000129675	9459	84
ENSG00000129680	79649	18
ENSG00000129682	2258	138
ENSG00000129990	6861	23
ENSG00000129991	7137	4553
ENSG00000130021	8226	87
ENSG00000130158	57572	65
ENSG00000130159	51295	34
ENSG00000130164	3949	7973
ENSG00000130165	84337	11
ENSG00000130167	26526	50
ENSG00000130173	55908	277
ENSG00000130175	5589	118
ENSG00000130176	1264	193
ENSG00000130202	5819	445
ENSG00000130203	348	24181
ENSG00000130204	10452	487
ENSG00000130208	341	765
ENSG00000130244	147965	1
ENSG00000130385	9210	408
ENSG00000130402	81	496
ENSG00000130433	59285	5
ENSG00000130669	10298	387
ENSG00000130733	78992	15
ENSG00000130734	84971	59
ENSG00000130748	54958	8
ENSG00000130749	23211	28
ENSG00000130751	4861	15
ENSG00000130755	9535	43
ENSG00000130758	4294	136
ENSG00000130810	56342	62
ENSG00000130811	8666	42
ENSG00000130812	83854	126
ENSG00000130813	55337	14
ENSG00000130816	1786	4688
ENSG00000130818	79088	6
ENSG00000130876	56301	85
ENSG00000130881	4037	14
ENSG00000130962	5638	7
ENSG00000130985	7317	402
ENSG00000130988	9104	201
ENSG00000131037	54869	15
ENSG00000131042	10288	432
ENSG00000131115	7770	1
ENSG00000131116	126299	3
ENSG00000131126	83639	45
ENSG00000131323	7187	1009
ENSG00000131724	3597	369
ENSG00000131725	54521	14
ENSG00000131808	2488	555
ENSG00000131845	57343	17
ENSG00000131848	79149	3
ENSG00000131864	57663	42
ENSG00000131941	85415	42
ENSG00000131943	83636	87
ENSG00000131944	91442	31
ENSG00000131951	341883	2
ENSG00000131966	55860	3
ENSG00000131969	145447	9
ENSG00000131979	2643	831
ENSG00000131981	3958	4863
ENSG00000132010	7568	7
ENSG00000133247	84787	65
ENSG00000133265	23640	122
ENSG00000133657	79572	34
ENSG00000133935	11161	15
ENSG00000133937	145258	146
ENSG00000133943	80017	12
ENSG00000133958	57578	28
ENSG00000133961	101928143	2
ENSG00000133961	8650	533
ENSG00000133962	79820	11
ENSG00000133980	55237	5
ENSG00000133983	51241	15
ENSG00000133985	23508	10
ENSG00000133997	10001	19
ENSG00000134001	1965	619
ENSG00000134007	8748	12
ENSG00000134343	63982	67
ENSG00000134569	4038	369
ENSG00000134571	4607	903
ENSG00000134574	1643	415
ENSG00000134575	53	153
ENSG00000134588	83844	69
ENSG00000134590	8933	4
ENSG00000134594	9363	15
ENSG00000134595	6658	360
ENSG00000134597	51634	9
ENSG00000134602	51765	97
ENSG00000134815	9704	20
ENSG00000134830	27202	176
ENSG00000135362	79899	14
ENSG00000135363	4005	460
ENSG00000135365	51317	45
ENSG00000135372	55226	228
ENSG00000135373	26298	144
ENSG00000135374	2001	125
ENSG00000135378	79056	20
ENSG00000135387	4076	127
ENSG00000136305	27141	70
ENSG00000136319	91875	23
ENSG00000136327	26257	15
ENSG00000136352	7080	2399
ENSG00000136367	85446	20
ENSG00000136514	64108	41
ENSG00000136527	6434	131
ENSG00000136732	2995	722
ENSG00000139865	319089	4
ENSG00000139874	6751	295
ENSG00000139880	64403	9
