index,genome,identifier,file,clip,scale,sum_stat,description,Tissue,Cancer
5012,0,CNhs11846,/home/drk/tillage/datasets/human/cage/fantom/CNhs11846/summary/coverage.w5,384,1,sum,carcinoid cell line:SK-PN-DW,NA,Yes
5013,0,CNhs11848,/home/drk/tillage/datasets/human/cage/fantom/CNhs11848/summary/coverage.w5,384,1,sum,leiomyoblastoma cell line:G-402,NA,Yes
5014,0,CNhs11849,/home/drk/tillage/datasets/human/cage/fantom/CNhs11849/summary/coverage.w5,384,1,sum,pharyngeal carcinoma cell line:Detroit 562,pharynx,Yes
5015,0,CNhs11851,/home/drk/tillage/datasets/human/cage/fantom/CNhs11851/summary/coverage.w5,384,1,sum,liposarcoma cell line:SW 872,NA,Yes
5016,0,CNhs11852,/home/drk/tillage/datasets/human/cage/fantom/CNhs11852/summary/coverage.w5,384,1,sum,lymphangiectasia cell line:DS-1,lymph,Yes
5017,0,CNhs11853,/home/drk/tillage/datasets/human/cage/fantom/CNhs11853/summary/coverage.w5,384,1,sum,neuroepithelioma cell line:SK-N-MC,NA,Yes
5018,0,CNhs11854,/home/drk/tillage/datasets/human/cage/fantom/CNhs11854/summary/coverage.w5,384,1,sum,neurofibroma cell line:Hs 53.T,NA,Yes
5019,0,CNhs11856,/home/drk/tillage/datasets/human/cage/fantom/CNhs11856/summary/coverage.w5,384,1,sum,pagetoid sarcoma cell line:Hs 925.T,NA,Yes
5020,0,CNhs11857,/home/drk/tillage/datasets/human/cage/fantom/CNhs11857/summary/coverage.w5,384,1,sum,spindle cell sarcoma cell line:Hs 132.T,bone,Yes
5021,0,CNhs11858,/home/drk/tillage/datasets/human/cage/fantom/CNhs11858/summary/coverage.w5,384,1,sum,"mycosis fungoides, T cell lymphoma cell line:HuT 102 TIB-162",immune cell,Yes
5022,0,CNhs11859,/home/drk/tillage/datasets/human/cage/fantom/CNhs11859/summary/coverage.w5,384,1,sum,"leukemia, chronic megakaryoblastic cell line:MEG-01",immune cell,Yes
5023,0,CNhs11860,/home/drk/tillage/datasets/human/cage/fantom/CNhs11860/summary/coverage.w5,384,1,sum,fibrosarcoma cell line:HT-1080,NA,Yes
5024,0,CNhs11861,/home/drk/tillage/datasets/human/cage/fantom/CNhs11861/summary/coverage.w5,384,1,sum,medulloblastoma cell line:ONS-76,brain,Yes
5025,0,CNhs11862,/home/drk/tillage/datasets/human/cage/fantom/CNhs11862/summary/coverage.w5,384,1,sum,bronchial squamous cell carcinoma cell line:KNS-62,lung,Yes
5026,0,CNhs11864,/home/drk/tillage/datasets/human/cage/fantom/CNhs11864/summary/coverage.w5,384,1,sum,acute myeloid leukemia (FAB M2) cell line:NKM-1,immune cell,Yes
5027,0,CNhs11865,/home/drk/tillage/datasets/human/cage/fantom/CNhs11865/summary/coverage.w5,384,1,sum,chronic myelogenous leukemia (CML) cell line:MEG-A2,bone,Yes
5028,0,CNhs11866,/home/drk/tillage/datasets/human/cage/fantom/CNhs11866/summary/coverage.w5,384,1,sum,neuroectodermal tumor cell line:TASK1,NA,Yes
5029,0,CNhs11867,/home/drk/tillage/datasets/human/cage/fantom/CNhs11867/summary/coverage.w5,384,1,sum,NK T cell leukemia cell line:KHYG-1,immune cell,Yes
5030,0,CNhs11868,/home/drk/tillage/datasets/human/cage/fantom/CNhs11868/summary/coverage.w5,384,1,sum,hepatic mesenchymal tumor cell line:LI90,liver,Yes
5031,0,CNhs11869,/home/drk/tillage/datasets/human/cage/fantom/CNhs11869/summary/coverage.w5,384,1,sum,somatostatinoma cell line:QGP-1,endocrine,Yes
5032,0,CNhs11870,/home/drk/tillage/datasets/human/cage/fantom/CNhs11870/summary/coverage.w5,384,1,sum,liposarcoma cell line:KMLS-1,NA,Yes
5033,0,CNhs11872,/home/drk/tillage/datasets/human/cage/fantom/CNhs11872/summary/coverage.w5,384,1,sum,thyroid carcinoma cell line:TCO-1,thyroid,Yes
5034,0,CNhs11873,/home/drk/tillage/datasets/human/cage/fantom/CNhs11873/summary/coverage.w5,384,1,sum,mucinous cystadenocarcinoma cell line:MCAS,NA,Yes
5035,0,CNhs11875,/home/drk/tillage/datasets/human/cage/fantom/CNhs11875/summary/coverage.w5,384,1,sum,choriocarcinoma cell line:SCH,bone,Yes
5036,0,CNhs11876,/home/drk/tillage/datasets/human/cage/fantom/CNhs11876/summary/coverage.w5,384,1,sum,testicular germ cell embryonal carcinoma cell line:ITO-II,male rep.,Yes
5037,0,CNhs11877,/home/drk/tillage/datasets/human/cage/fantom/CNhs11877/summary/coverage.w5,384,1,sum,rhabdomyosarcoma cell line:KYM-1,NA,Yes
5038,0,CNhs11878,/home/drk/tillage/datasets/human/cage/fantom/CNhs11878/summary/coverage.w5,384,1,sum,teratocarcinoma cell line:NCC-IT-A3,NA,Yes
5039,0,CNhs11880,/home/drk/tillage/datasets/human/cage/fantom/CNhs11880/summary/coverage.w5,384,1,sum,keratoacanthoma cell line:HKA-1,skin,Yes
5040,0,CNhs11881,/home/drk/tillage/datasets/human/cage/fantom/CNhs11881/summary/coverage.w5,384,1,sum,anaplastic large cell lymphoma cell line:Ki-JK,NA,Yes
5041,0,CNhs11882,/home/drk/tillage/datasets/human/cage/fantom/CNhs11882/summary/coverage.w5,384,1,sum,adenocarcinoma cell line:IM95m,NA,Yes
5042,0,CNhs11883,/home/drk/tillage/datasets/human/cage/fantom/CNhs11883/summary/coverage.w5,384,1,sum,tubular adenocarcinoma cell line:SUIT-2,NA,Yes
5043,0,CNhs11884,/home/drk/tillage/datasets/human/cage/fantom/CNhs11884/summary/coverage.w5,384,1,sum,teratocarcinoma cell line:NCR-G1,NA,Yes
5044,0,CNhs11885,/home/drk/tillage/datasets/human/cage/fantom/CNhs11885/summary/coverage.w5,384,1,sum,small cell cervical cancer cell line:HCSC-1,cervix,Yes
5045,0,CNhs11886,/home/drk/tillage/datasets/human/cage/fantom/CNhs11886/summary/coverage.w5,384,1,sum,chronic myeloblastic leukemia (CML) cell line:KCL-22,bone,Yes
